"Node1","Node2"
"PETE","ANN"
"PETE","AMY"
"PETE","KATY"
"PETE","BILL"
"PETE","TINA"
"PETE","ANDY"
"PETE","LISA"
"PETE","MINNA"
"PETE","MARY"
"PETE","EMMA"
"PETE","ROSE"
"PETE","MIKE"
"PETE","PEG"
"PRESIDENT","ANN"
"PRESIDENT","AMY"
"PRESIDENT","KATY"
"PRESIDENT","BILL"
"PRESIDENT","PETE"
"PRESIDENT","TINA"
"PRESIDENT","ANDY"
"PRESIDENT","LISA"
"PRESIDENT","MINNA"
"PRESIDENT","MARY"
"PRESIDENT","EMMA"
"PRESIDENT","ROSE"
"PRESIDENT","MIKE"
"PRESIDENT","PEG"
"MINNA","AMY"
"MINNA","LISA"
"EMMA","TINA"
"EMMA","MARY"
"EMMA","ROSE"
"EMMA","MIKE"
"EMMA","PEG"
